iter	Passed	Remaining
1580	13494	71859
1581	13502	71850
1582	13511	71841
1583	13519	71832
1584	13528	71823
1585	13537	71816
1586	13545	71807
1587	13554	71799
1588	13562	71791
1589	13571	71783
1590	13580	71775
1591	13588	71766
1592	13597	71757
1593	13605	71749
1594	13613	71739
1595	13622	71733
1596	13631	71725
1597	13640	71717
1598	13648	71708
1599	13657	71700
1600	13665	71692
1601	13674	71685
1602	13683	71676
1603	13691	71668
1604	13700	71658
1605	13708	71651
1606	13717	71642
1607	13725	71634
1608	13734	71625
1609	13742	71616
1610	13751	71610
1611	13760	71601
1612	13769	71594
1613	13777	71585
1614	13786	71577
1615	13795	71571
1616	13803	71562
1617	13812	71554
1618	13821	71546
1619	13829	71538
1620	13838	71531
1621	13846	71522
1622	13855	71513
1623	13864	71505
1624	13872	71497
1625	13881	71492
1626	13890	71483
1627	13898	71475
1628	13907	71467
1629	13916	71458
1630	13924	71451
1631	13933	71441
1632	13941	71433
1633	13950	71424
1634	13958	71416
1635	13968	71412
1636	13976	71403
1637	13985	71396
1638	13994	71388
1639	14002	71379
1640	14012	71375
1641	14020	71366
1642	14029	71358
1643	14037	71348
1644	14046	71340
1645	14054	71332
1646	14063	71322
1647	14071	71315
1648	14080	71305
1649	14088	71297
1650	14097	71290
1651	14106	71281
1652	14114	71273
1653	14123	71264
1654	14131	71256
1655	14140	71248
1656	14148	71239
1657	14157	71230
1658	14165	71222
1659	14174	71213
1660	14183	71206
1661	14191	71196
1662	14199	71187
1663	14208	71178
1664	14216	71169
1665	14225	71162
1666	14234	71153
1667	14242	71144
1668	14251	71136
1669	14259	71126
1670	14268	71120
1671	14276	71111
1672	14285	71102
